host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
1,11 Com,93.1846,4874.0,13.76,2.09,1.97823,2.45,-0.26,G8 III,G,Supergiant,2,1
2,11 UMi,125.321,4213.0,29.79,2.78,2.42951,1.93,-0.02,K4 III,K,Supergiant,1,1
3,14 And,75.4392,4888.0,11.55,1.78,1.83992,2.55,-0.21,K0 III,K,Giant,1,1
4,14 Her,17.9323,5338.0,0.93,0.97,-0.15273,4.45,0.43,K0,K,Main_Sequence_Cool,1,2
5,16 Cyg B,21.1397,5750.0,1.13,1.08,0.09729,4.36,0.06,G3 V,G,Main_Sequence_Cool,3,1
6,17 Sco,124.953,4157.0,25.92,1.22,2.25435,1.7,-0.01,K3 III,K,Supergiant,1,1
7,18 Del,76.222,4980.0,8.8,2.1,1.63367,2.87,-0.06,G6 III,G,Giant,2,1
8,1RXS J160929.1-210524,139.135,4060.0,1.31316,0.85,-0.37,3.99592,,K7 V,K,Subgiant,1,1
9,24 Boo,95.9863,4816.0,12.19,1.05,1.87691,2.28,-0.78,G3 IV,G,Supergiant,1,1
10,24 Sex,72.0691,5098.0,4.9,1.54,1.164,3.5,-0.03,K0 IV,K,Giant,1,2
11,2MASS J01033563-5515561 A,47.2,4621.5,1.26,0.19,-0.20897500000000002,,,M5.5/M6,M,Unknown,2,1
12,2MASS J01225093-2439505,33.8281,3530.0,0.36645,0.4,-1.72,4.85804,,M3.5 V,M,Main_Sequence_Cool,1,1
13,2MASS J02192210-3925225,40.08964117,3064.0,0.281,0.108,-2.23,4.59,,M6,M,Main_Sequence_Cool,1,1
14,2MASS J03590986+2009361,117.435,2943.0,0.289776,0.264996,-2.24602,4.93718,,Unknown,Unknown,Main_Sequence_Cool,1,1
15,2MASS J04372171+2651014,128.484,3100.0,0.84,0.17,-1.16368,4.5,0.01,M V,M,Main_Sequence_Cool,1,1
16,2MASS J11011926-7732383,,4621.5,1.26,1.0,-0.20897500000000002,,,Unknown,Unknown,Unknown,1,1
17,2MASS J11550485-7919108,100.862,3021.0,0.600455,0.58846,-1.56774,4.65082,,Unknown,Unknown,Main_Sequence_Cool,1,1
18,2MASS J12073346-3932539,64.308,2825.0,0.21887,0.188001,-2.56086,5.03186,,M8,M,Main_Sequence_Cool,1,1
19,2MASS J16262785-2625152,145.434,3252.0,1.26,1.0,-0.20897500000000002,,,M4.5,M,Unknown,1,1
20,2MASS J19383260+4603591,396.332,29564.0,0.203,0.48,1.45,5.508,-0.092,Unknown,Unknown,Main_Sequence_Hot,2,3
21,2MASS J21252752-8138278,34.1154,3592.0,0.672832,0.643977,-1.16815,4.59112,,Unknown,Unknown,Main_Sequence_Cool,1,1
22,2MASS J22362452+4751425,69.5737,4045.0,0.641152,0.6,-1.02143,4.62349,,K7 V,K,Main_Sequence_Cool,1,1
23,2MASS J22501512+2325342,57.2309,3352.0,0.437589,0.433173,-1.66196,4.7926,,M3,M,Main_Sequence_Cool,1,1
24,4 UMa,73.4603,4415.0,18.11,1.234,2.06236,1.8,-0.25,K1 III,K,Supergiant,1,1
25,47 UMa,13.7967,5872.0,1.21334,1.06,0.1978,4.29541,0.04,G0V,G,Main_Sequence_Cool,1,3
26,51 Eri,29.7575,7422.0,1.45,1.75,0.7574,4.31078,0.13,F0 IV,F,Main_Sequence_Hot,3,1
27,51 Peg,15.4614,5758.0,1.17561,1.03,0.13631,4.31038,0.18,G5V,G,Main_Sequence_Cool,1,1
28,55 Cnc,12.5855,5198.0,0.98,1.015,-0.19695,4.3,0.39,G8 V,G,Main_Sequence_Cool,2,7
29,55 Cnc B,12.4773,3286.0,0.274,0.26,-2.10811,4.86,0.16,M4.5 V,M,Main_Sequence_Cool,2,7
30,6 Lyn,54.6599,4941.0,4.94,1.32,1.1186,3.16,-0.17,K0 IV,K,Giant,1,1
31,61 Vir,8.50332,5577.0,0.963,0.942,-0.095,4.34,-0.01,G5 V,G,Main_Sequence_Cool,1,3
32,7 CMa,19.8101,4826.0,4.87,1.34,1.06258,3.19,0.21,K1III(+M),K,Giant,1,2
33,70 Vir,17.9011,5495.0,1.89,1.09,0.4513,3.95,-0.09,G5V,G,Subgiant,1,1
34,75 Cet,82.9613,4809.0,10.38,1.92,1.7145,2.69,0.1,G3 III,G,Giant,2,2
35,8 UMi,162.552,4847.0,10.73,1.51,1.72346,2.57,-0.03,K0,K,Giant,1,1
36,81 Cet,101.26,4734.0,11.21,1.23,1.76027,2.41,-0.11,G5 III,G,Supergiant,1,1
37,91 Aqr,44.0304,4665.0,11.0,1.4,1.69239,2.52,-0.03,K0 III,K,Giant,3,1
38,AB Aur,162.127,9770.0,2.95887,2.4,1.77085,3.77411,,Unknown,Unknown,Subgiant,1,1
39,AB Pic,50.0475,5285.0,0.999394,0.9,-0.22631,4.53,0.04,K2 V,K,Main_Sequence_Cool,1,1
40,AF Lep,26.8564,6140.0,1.25,1.218,0.29,4.4,0.19,F8,F,Main_Sequence_Hot,1,1
41,AT2021ueyL,1040.0,3680.0,1.42487,0.49,0.31745,,,M V,M,Unknown,1,1
42,AU Mic,9.7221,3602.5,0.841,0.6174999999999999,-0.983785,4.3870000000000005,0.065,M1 V,M,Main_Sequence_Cool,1,4
43,BD+03 2562,1070.63,4095.0,32.35,1.14,2.7,1.89,-0.71,Unknown,Unknown,Supergiant,1,1
44,BD+05 4868 A,43.5687,4596.0,0.69,0.7,-0.7167,4.6,-0.05,K V,K,Main_Sequence_Cool,2,1
45,BD+14 4559,49.352,4864.0,0.86,0.49,-0.32,4.26,0.17,K2 V,K,Main_Sequence_Cool,1,1
46,BD+15 2375,768.045,4649.0,8.95,1.08,1.57,2.61,-0.22,G5,G,Giant,1,1
47,BD+15 2940,426.42,4796.0,14.7,1.1,2.01,2.8,0.28,K0,K,Giant,1,1
48,BD+20 2457,1539.71,4137.0,49.0,2.8,3.17,1.51,-1.0,K2 II,K,Supergiant,1,2
49,BD+20 274,1322.51,4296.0,17.3,0.8,1.96,1.99,-0.46,K5 III,K,Supergiant,1,1
50,BD+20 594,179.461,5766.0,1.08,1.67,-0.05552,4.5,-0.15,G,G,Main_Sequence_Cool,1,1
51,BD+37 3172,454.251,4500.0,50.24,3.75,2.84,1.5,-0.03,Unknown,Unknown,Supergiant,1,1
52,BD+42 2315,610.715,4500.0,17.85,1.38,1.99,2.0,-0.2,Unknown,Unknown,Supergiant,1,1
53,BD+45 564,53.622,5004.0,0.813064,0.81,-0.39918,4.22,-0.09,K1,K,Main_Sequence_Cool,1,1
54,BD+48 738,871.493,4414.0,11.0,0.74,1.69,2.24,-0.2,K0 III,K,Supergiant,1,1
55,BD+48 740,666.589,4534.0,10.33,1.09,1.64,2.48,-0.13,K3 III,K,Supergiant,1,1
56,BD+49 828,442.042,4943.0,7.6,1.52,1.47,2.85,-0.19,K0,K,Giant,1,1
57,BD+55 362,52.5697,5012.0,0.896193,0.909,-0.31295,4.09,0.18,K3,K,Main_Sequence_Cool,1,1
58,BD+60 1417,44.9543,4993.0,0.797,1.0,0.35595,4.5539,,K0,K,Main_Sequence_Cool,1,1
59,BD+63 1405,38.0473,5000.0,0.804724,0.816,-0.41295,4.2,-0.09,K0,K,Main_Sequence_Cool,1,1
60,BD-06 1339,20.2695,4324.0,0.686355,0.7,-1.022,4.74,-0.14,K7/M0 V,K,Main_Sequence_Cool,1,2
61,BD-08 2823,41.3342,4781.0,0.71,0.62,-0.62597,4.279999999999999,-0.065,K3 V,K,Main_Sequence_Cool,1,2
62,BD-10 3166,84.4069,5393.0,0.91,1.47,-0.1912,4.69,0.38,K0 V,K,Main_Sequence_Cool,1,1
63,BD-11 4672,27.1665,4550.0,0.639,0.651,-0.8041,4.642,-0.35,K7V,K,Main_Sequence_Cool,1,2
64,BD-13 2130,925.214,4545.0,19.17,2.12,2.04268,2.2,-0.08,G5 IV/V,G,Supergiant,1,1
65,BD-14 3065 A,589.423,6935.0,2.35,1.41,1.06,3.85,-0.34,Unknown,Unknown,Subgiant,3,1
66,BD-17 63,34.4603,4714.0,0.74,0.741,-0.678,4.26,-0.03,K5 V,K,Main_Sequence_Cool,1,1
67,BD-210397,23.7324,4051.0,0.747,0.6845,-0.86967,4.67,0.12,K7 V,K,Main_Sequence_Cool,1,2
68,BEBOP-3,119.052,6033.0,1.414,1.083,0.38321,4.203,-0.02,Unknown,Unknown,Main_Sequence_Hot,2,1
69,BEBOP-4 A,234.294,5701.43,2.75645,1.507,0.85933,3.56597,0.2615,G3 V,G,Subgiant,2,1
70,Barnard's star,1.82655,3195.0,0.185,0.162,-2.44977,4.9,-0.56,M3.5-4 V,M,Main_Sequence_Cool,1,4
71,CD Cet,8.60715,3130.0,0.175,0.161,-2.53254,4.93,0.13,M5.0 V,M,Main_Sequence_Cool,1,1
72,CD-35 2722,22.3896,3689.0,0.558549,0.4,-1.26481,4.24,-0.16,M1 V,M,Main_Sequence_Cool,1,1
73,CHXR 73,190.374,3099.0,1.26,0.35,-0.20897500000000002,,,M3.5,M,Unknown,1,1
74,CI Tau,157.998,3807.0,1.880857,0.9,-0.25458,,,K7,K,Unknown,1,1
75,CT Cha,190.72,4403.0,1.679694,1.0,-0.10177,3.66,-0.56,K5e,K,Subgiant,1,1
76,CoRoT-1,787.909,5950.0,1.11,0.95,0.29793,4.25,-0.3,G0 V,G,Main_Sequence_Cool,1,1
77,CoRoT-10,338.386,5075.0,0.79,0.89,-0.72608,4.65,0.26,K1 V,K,Main_Sequence_Cool,1,1
78,CoRoT-11,655.037,6440.0,1.37,1.27,0.37753,4.22,-0.03,F6 V,F,Main_Sequence_Hot,1,1
79,CoRoT-12,1126.37,5675.0,1.116,1.078,0.07,4.375,0.16,Unknown,Unknown,Main_Sequence_Cool,1,1
80,CoRoT-13,1148.93,5945.0,1.01,1.09,0.07314,4.46,0.01,G0 V,G,Main_Sequence_Cool,1,1
81,CoRoT-14,1744.6,6035.0,1.21,1.13,0.11884,4.35,0.05,F9 V,F,Main_Sequence_Hot,1,1
82,CoRoT-16,732.409,5650.0,1.19,1.098,-0.43496,4.36,0.19,G5 V,G,Main_Sequence_Cool,1,1
83,CoRoT-17,1176.12,5740.0,1.59,1.04,0.13421,4.4,0.0,G2 V,G,Main_Sequence_Cool,1,1
84,CoRoT-18,764.889,5440.0,1.0,0.95,-0.17,4.4,-0.1,G9 V,G,Main_Sequence_Cool,1,1
85,CoRoT-19,790.663,6090.0,1.65,1.21,0.544,4.07,-0.02,F9 V,F,Main_Sequence_Hot,1,1
86,CoRoT-2,213.283,5625.0,0.906,0.96,-0.13055,4.53,0.04,Unknown,Unknown,Main_Sequence_Cool,2,1
87,CoRoT-20,844.061,5880.0,1.02,1.14,0.17,4.35,0.14,G2 V,G,Main_Sequence_Cool,1,2
88,CoRoT-21,1398.83419686,6200.0,1.95,1.29,0.705,3.7,0.0,F8 IV,F,Subgiant,1,1
89,CoRoT-22,627.158,5939.0,1.136,1.099,0.01352,4.361,0.17,G3 V,G,Main_Sequence_Cool,1,1
90,CoRoT-23,1060.97,5900.0,1.61,1.14,0.08678,4.3,0.05,G0 V,G,Main_Sequence_Cool,1,1
91,CoRoT-24,591.555,4950.0,0.86,0.91,-0.60148,4.55,0.3,K1 V,K,Main_Sequence_Cool,1,2
92,CoRoT-25,1103.48,6040.0,1.19,1.09,0.14101,4.31,-0.01,F9,F,Main_Sequence_Hot,1,1
93,CoRoT-26,1045.18,5590.0,1.79,1.09,0.451,3.99,0.01,G5,G,Subgiant,1,1
94,CoRoT-27,1010.28,5900.0,1.08,1.05,-0.16641,4.4,-0.1,G2,G,Main_Sequence_Cool,1,1
95,CoRoT-28,766.183,5150.0,1.78,1.01,0.38849,3.6,0.15,G8/9 IV,G,Subgiant,1,1
96,CoRoT-29,806.507,5260.0,0.9,0.97,-0.09414,4.3,0.2,K0 V,K,Main_Sequence_Cool,1,1
97,CoRoT-3,768.771,6740.0,1.56,1.37,0.39086,4.22,0.14,F3 V,F,Main_Sequence_Hot,1,1
98,CoRoT-30,1032.23,5650.0,0.91,0.98,-0.19653,4.4,0.02,G3 V,G,Main_Sequence_Cool,1,1
99,CoRoT-31,2005.76,5700.0,2.15,1.25,0.39778,3.85,0.0,G2 IV,G,Subgiant,1,1
100,CoRoT-32,576.683,5970.0,0.79,1.08,-0.1549,4.67,0.0,G0 VI,G,Main_Sequence_Cool,1,1
101,CoRoT-35,1123.21,6390.0,1.65,1.01,0.36247,4.01,-0.5,F6 V,F,Main_Sequence_Hot,1,1
102,CoRoT-36,925.958,6730.0,1.52,1.32,0.81257,4.16,-0.1,F3 V,F,Main_Sequence_Hot,1,1
103,CoRoT-4,726.412,6190.0,1.17,1.16,0.18482,4.41,0.05,Unknown,Unknown,Main_Sequence_Hot,1,1
104,CoRoT-5,882.472,6100.0,1.186,1.0,0.18,4.19,-0.25,F9 V,F,Main_Sequence_Hot,1,1
105,CoRoT-6,645.294,6090.0,1.025,1.05,0.02573,4.43,-0.2,F9 V,F,Main_Sequence_Hot,1,1
106,CoRoT-7,159.906,5256.0,0.8389,0.899,-0.28938,4.51853,0.06,G9 V,G,Main_Sequence_Cool,1,3
107,CoRoT-8,322.037,5080.0,0.77,0.88,-0.4,4.58,0.3,K1 V,K,Main_Sequence_Cool,1,1
108,CoRoT-9,412.98,5625.0,0.96,0.96,-0.25426,4.54,-0.01,G3 V,G,Main_Sequence_Cool,2,1
109,DE CVn,30.5225,3579.0,0.424754,0.51,-1.57398,4.80413,,Unknown,Unknown,Main_Sequence_Cool,2,1
110,DENIS-P J082303.1-491201,20.77,4034.0,0.624,0.075,-0.99957,,,L1.5,L,Unknown,1,1
111,DMPP-1,62.5388,6196.0,1.26,1.21,0.31955,4.41,,F8 V,F,Main_Sequence_Hot,1,4
112,DMPP-2,137.94,6500.0,1.78,1.41,0.1038,4.1,,F5 V,F,Main_Sequence_Hot,1,3
113,DMPP-3 A,46.8917,5138.0,0.91,0.9,-0.29513,4.46049,0.18,K0 V,K,Main_Sequence_Cool,2,1
114,DMPP-4,25.3284,6400.0,1.38,1.25,0.45939,4.24,-0.007,F5-F8 V,F,Main_Sequence_Hot,1,1
115,DMPP-6,54.6303,6182.09,1.27,1.079,0.31544,4.31374,0.32,Unknown,Unknown,Main_Sequence_Hot,1,2
116,DMPP-7,101.386,5996.82,1.53949,1.09,0.44113,4.17,,G1 V,G,Main_Sequence_Cool,1,1
117,DMPP-8,76.1335,6009.0,1.24,0.99,0.23219,4.32111,,Unknown,Unknown,Main_Sequence_Hot,1,1
118,DMPP-9,109.539,6092.0,1.26,1.1,0.32741,4.2613,,Unknown,Unknown,Main_Sequence_Hot,1,1
119,DS Tuc A,44.0622,5428.0,0.964,1.01,-0.13966,4.6,0.0,G6 V,G,Main_Sequence_Cool,2,1
120,EPIC 201170410,134.0,3648.0,0.282,0.287,-1.9,4.999,-0.048,Unknown,Unknown,Main_Sequence_Cool,1,1
121,EPIC 201238110,159.259,3587.0,0.374,0.41,-1.50834,4.77613,,Unknown,Unknown,Main_Sequence_Cool,1,1
122,EPIC 201427007,706.391,5633.0,0.94,0.93,-0.04875,4.4,-0.053,Unknown,Unknown,Main_Sequence_Cool,1,1
123,EPIC 201497682,253.026,4991.0,0.554,0.78,-0.76627,4.63444,-0.0892,Unknown,Unknown,Main_Sequence_Cool,1,1
124,EPIC 201595106,232.1,5679.0,0.98,0.958,-0.04915,4.435,0.01,Unknown,Unknown,Main_Sequence_Cool,1,2
125,EPIC 201757695,577.6,4520.0,0.655,0.727,-0.36351,4.659,-0.003,Unknown,Unknown,Main_Sequence_Cool,1,1
126,EPIC 201841433,436.488,5053.0,0.628461,0.802,-0.63455,4.595,0.0,Unknown,Unknown,Main_Sequence_Cool,1,1
127,EPIC 206024342,369.888,5724.0,1.1,0.928,-0.16992,4.5,-0.22,Unknown,Unknown,Main_Sequence_Cool,1,3
128,EPIC 206032309,161.365,3489.0,0.37344,0.221,-1.73006,4.8514,,Unknown,Unknown,Main_Sequence_Cool,1,1
129,EPIC 206042996,451.769,4114.0,0.5,0.565,-0.97996,4.8,0.006,Unknown,Unknown,Main_Sequence_Cool,1,2
130,EPIC 206215704,109.888,3297.0,0.25,0.407,-2.08843,4.9,-0.33,Unknown,Unknown,Main_Sequence_Cool,1,1
131,EPIC 206317286,314.35,4752.0,0.7135,0.7715,-0.59336,4.596,0.019,Unknown,Unknown,Main_Sequence_Cool,1,2
132,EPIC 211822797,186.197,4057.0,0.58,0.62,-1.15304,4.7,0.2,M0,M,Main_Sequence_Cool,1,1
133,EPIC 211945201,181.69,6069.0,1.39,1.17,0.37334,4.22,0.1,G0,G,Main_Sequence_Hot,1,1
134,EPIC 212297394,418.395,5171.0,0.8,0.83,-0.46654,4.55,-0.03,Unknown,Unknown,Main_Sequence_Cool,1,2
135,EPIC 212424622,611.804,5782.33,1.2247,1.106,0.17917,4.29996,,Unknown,Unknown,Main_Sequence_Cool,1,1
136,EPIC 212499991,283.29,4982.79,0.757541,0.912,-0.4966,4.61492,,Unknown,Unknown,Main_Sequence_Cool,1,1
137,EPIC 212587672,320.07,6004.0,0.98,0.99,0.03848,4.45,-0.18,Unknown,Unknown,Main_Sequence_Hot,1,2
138,EPIC 212624936,561.929,5765.0,0.93,1.0,-0.12371,4.4,-0.39,Unknown,Unknown,Main_Sequence_Cool,1,2
139,EPIC 212737443,336.25,4684.0,0.673,0.69,-0.75057,4.622,-0.137,K3,K,Main_Sequence_Cool,1,2
140,EPIC 220492298,624.512,5620.0,0.89,0.95,-0.0088,4.5,0.28,Unknown,Unknown,Main_Sequence_Cool,1,1
141,EPIC 220674823,244.59,5578.0,0.99,0.913,-0.11919,4.408,-0.005,G5 V,G,Main_Sequence_Cool,1,2
142,EPIC 228836835,150.124,3782.0,0.32,0.418179,-1.61153,5.0,-0.18,Unknown,Unknown,Main_Sequence_Cool,1,1
143,EPIC 229004835,121.971,5868.0,0.999,0.97,0.02989,4.47031,-0.12,Unknown,Unknown,Main_Sequence_Cool,1,1
144,EPIC 246851721,372.632,6202.0,1.586,1.317,0.52634,4.157,0.141,F5 V,F,Main_Sequence_Hot,2,1
145,EPIC 248847494,551.886,4898.0,2.7,0.9,0.54805,3.52,-0.23,Unknown,Unknown,Subgiant,1,1
146,EPIC 249893012,321.296,5430.0,1.71,1.05,0.35568,3.99,0.2,G8 IV/V,G,Subgiant,1,3
147,FU Tau,133.4950466,2838.0,1.26,0.05,-0.69897,,,M7.25,M,Unknown,1,1
148,G 192-15,9.53114,2999.0,0.170718,0.132,-2.67285,5.12283,,M5.0 V,M,Main_Sequence_Cool,1,2
149,G 196-3,21.7912,3517.0,0.522432,0.519782,-1.42456,4.71783,,Unknown,Unknown,Main_Sequence_Cool,1,1
150,G 261-6,10.6267,2907.0,0.153162,0.118,-2.82122,5.16515,,M5.5 V,M,Main_Sequence_Cool,1,1
151,G 264-012,16.009,3326.0,0.305,0.297,-1.97224,4.85,0.1,M4.0 V,M,Main_Sequence_Cool,1,2
152,G 268-110,,5253.0,0.177,0.137,-2.63971,5.0855,,M5.0 V,M,Main_Sequence_Cool,1,1
153,G 9-40,27.9276,3395.0,0.3026,0.2952,-1.96019,4.84,-0.07,M2.5 V,M,Main_Sequence_Cool,1,1
154,GJ 1002,4.84867,3024.0,0.137,0.12,-2.85201,5.1,-0.25,M5.5 V,M,Main_Sequence_Cool,1,2
155,GJ 1061,3.67278,2953.0,0.156,0.12,-2.76955,5.15856,-0.08,M5.5 V,M,Main_Sequence_Cool,1,3
156,GJ 1132,12.613,3249.5,0.2158,0.18775,-2.340005,5.037,-0.24,M4.5 V,M,Main_Sequence_Cool,1,2
157,GJ 1148,11.0143,3287.0,0.358519,0.344045,-1.86908,4.86566,0.1596,M5,M,Main_Sequence_Cool,1,2
158,GJ 1151,8.03625,3280.0,0.1781,0.1639,-2.47952,5.09,-0.12,M 4.5V,M,Main_Sequence_Cool,1,1
159,GJ 1214,14.6427,3101.0,0.2162,0.182,-2.40894,5.0286,0.24,M4 V,M,Main_Sequence_Cool,1,1
160,GJ 1252,20.373,3458.0,0.391,0.381,-1.70774,4.88693,0.1,M3,M,Main_Sequence_Cool,1,1
161,GJ 1265,10.2525,3236.0,0.192,0.178,-2.4389,5.09,-0.04,M4.5 V,M,Main_Sequence_Cool,1,1
162,GJ 1289,8.35147,3296.0,0.245012,0.21,-2.25995,4.9931,0.02,M4.5 Ve,M,Main_Sequence_Cool,1,1
163,GJ 143,16.32,4640.0,0.695,0.73,-0.6862,4.613,0.003,K4.5,K,Main_Sequence_Cool,1,2
164,GJ 15 A,3.56228,3607.0,0.38,0.38,-1.655,4.87,-0.34,M1,M,Main_Sequence_Cool,2,2
165,GJ 160.2,25.8557,4347.0,0.655173,0.69,-0.79588,4.61312,,M0 V,M,Main_Sequence_Cool,1,1
166,GJ 163,15.1285,3500.0,0.409738,0.4,-1.708,4.81775,0.1,M,M,Main_Sequence_Cool,1,3
167,GJ 179,12.356,3370.0,0.38,0.357,-1.796,4.83,0.3,M3.5 V,M,Main_Sequence_Cool,1,1
168,GJ 180,11.9407,3371.0,0.413049,0.43,-1.88606,4.81473,,M3,M,Main_Sequence_Cool,1,3
169,GJ 2030,37.0788,5485.0,2.24104,0.96,0.6123,3.71944,-0.4,Unknown,Unknown,Subgiant,1,2
170,GJ 2056,28.4434,4069.95,0.709495,0.62,-0.90505,4.48062,,M0V:,M,Main_Sequence_Cool,1,1
171,GJ 2126,38.129,4159.0,0.728,0.65,-0.84527,4.527,0.6,M0 V,M,Main_Sequence_Cool,1,1
172,GJ 229,5.75624,3564.0,0.46,0.509,-1.55284,4.69496,,M1.5V,M,Main_Sequence_Cool,3,2
173,GJ 238,15.2142,3485.0,0.4314,0.4193,-1.61618,4.85243,0.15,M2.5 V,M,Main_Sequence_Cool,1,1
174,GJ 251,5.58057,3342.0,0.36,0.35,-1.80967,4.87,0.07,M3.0 V,M,Main_Sequence_Cool,1,2
175,GJ 27.1,23.6062,3542.0,0.518887,0.53,-1.58503,4.72092,,M0.5 V,M,Main_Sequence_Cool,1,1
176,GJ 273,5.921535,3382.0,0.293,0.29,-2.05552,4.90868,0.09,M3.5,M,Main_Sequence_Cool,1,2
177,GJ 3021,17.5559,5540.0,0.9,0.9,-0.18,4.7,0.1,G6 V,G,Main_Sequence_Cool,2,1
178,GJ 3082,16.6186,3910.0,0.465216,0.47,-1.46273,4.76801,,M4,M,Main_Sequence_Cool,1,1
179,GJ 3090,22.4751,3707.0,0.516,0.519,-1.34199,4.727,0.12,M2 V,M,Main_Sequence_Cool,1,2
180,GJ 3138,28.4712,3717.0,0.5,0.681,-1.34679,4.62872,-0.3,M0,M,Main_Sequence_Cool,1,3
181,GJ 317,15.1968,3496.0,0.403,0.402,-1.68663,4.822436,-0.02,M3.5 V,M,Main_Sequence_Cool,1,2
182,GJ 3222,18.23817,5257.46,0.931389,0.89,-0.252,4.43,0.16,K0V,K,Main_Sequence_Cool,2,1
183,GJ 328,20.5266,3897.0,0.63,0.65,-1.08,4.64,-0.06,M0.0,M,Main_Sequence_Cool,1,2
184,GJ 3293,20.1903,3466.0,0.404,0.42,-1.65758,4.78125,0.02,M2.5,M,Main_Sequence_Cool,1,4
185,GJ 3323,5.37484,3159.0,0.119,0.164,-2.56864,,-0.27,M4,M,Unknown,1,2
186,GJ 3341,23.619,3526.0,0.439,0.47,-1.538,4.76852,-0.09,M2.5,M,Main_Sequence_Cool,1,1
187,GJ 338 B,6.33256,4014.0,0.58,0.64,-1.10127,4.68,-0.03,M0 V,M,Main_Sequence_Cool,2,1
188,GJ 341,10.454,3770.0,0.5066,0.48,-1.31072,4.72,-0.16,M1,M,Main_Sequence_Cool,1,1
189,GJ 3470,29.4214,3600.0,0.547,0.539,-1.5376,4.695,0.2,M1.5,M,Main_Sequence_Cool,1,1
190,GJ 3473,27.3644,3347.0,0.364,0.36,-1.82391,4.81,0.11,M4,M,Main_Sequence_Cool,2,2
191,GJ 3512,9.48637,3141.0,0.139,0.123,-2.8041,5.1582,-0.07,M5.5 V,M,Main_Sequence_Cool,1,2
192,GJ 357,9.44181,3505.0,0.337,0.342,-1.79833,4.94,-0.12,M2.5 V,M,Main_Sequence_Cool,1,3
193,GJ 3634,20.3779,3517.0,0.43,0.45,-1.699,4.77636,,M2.5,M,Main_Sequence_Cool,1,1
194,GJ 367,9.41263,3522.0,0.458,0.455,-1.5391,4.776,-0.01,M1.0 V,M,Main_Sequence_Cool,1,3
195,GJ 3779,13.743,3324.0,0.281,0.27,-2.06198,5.05,0.0,M4.0 V,M,Main_Sequence_Cool,1,1
196,GJ 3929,15.8095,3384.0,0.32,0.313,-1.96257,4.89,-0.02,M3.5 V,M,Main_Sequence_Cool,1,2
197,GJ 393,7.03149,3579.0,0.426,0.426,-1.57073,4.88,-0.09,M2.0 V,M,Main_Sequence_Cool,1,1
198,GJ 3942,16.9287,3867.0,0.61,0.63,-1.12,4.65,-0.04,M0,M,Main_Sequence_Cool,1,1
199,GJ 3988,9.9105,3273.0,0.19734,0.1842,-2.39513,4.92,-0.12,M4.5 V,M,Main_Sequence_Cool,1,1
200,GJ 3998,18.1459,3726.0,0.5,0.52,-1.358,4.75,-0.13,M1,M,Main_Sequence_Cool,1,3
201,GJ 411,5.675773,3719.0,0.3685,0.3899,-1.70997,4.895,-0.3621,M1.5 V,M,Main_Sequence_Cool,1,2
202,GJ 414 A,11.8893,4120.0,0.68,0.65,-0.92445,4.65,0.24,K7 V,K,Main_Sequence_Cool,2,2
203,GJ 422,12.6631,3323.0,0.370328,0.35,-1.95861,4.85435,,M3.5 V,M,Main_Sequence_Cool,1,1
204,GJ 4274,7.23556,3228.0,0.19,0.18,-2.46218,5.26,-0.19,M4.5 V,M,Main_Sequence_Cool,1,2
205,GJ 4276,21.3362,3387.0,0.407,0.406,-1.70553,4.97,0.12,M4.0,M,Main_Sequence_Cool,1,1
206,GJ 433,9.06456,3461.0,0.5,0.48,-1.69897,4.81,-0.17,M2V,M,Main_Sequence_Cool,1,3
207,GJ 436,9.75321,3586.11,0.455,0.47,-1.585,4.792,0.0991,M2.5 V,M,Main_Sequence_Cool,1,1
208,GJ 463,18.3554,3563.0,0.483,0.486,-1.52293,4.86,-0.16,M3.0 V,M,Main_Sequence_Cool,1,1
209,GJ 480,14.2358,3509.0,0.449,0.45,-1.562,4.88,0.26,M3.5 Ve,M,Main_Sequence_Cool,1,1
210,GJ 486,8.07426,3317.0,0.3243,0.312,-1.93892,4.9111,-0.15,M3.5 V,M,Main_Sequence_Cool,1,1
211,GJ 504,17.5299,6234.0,1.26,1.22,0.332,4.6,0.28,G0 V,G,Main_Sequence_Hot,1,1
212,GJ 508.2,16.6374,3720.0,0.53,0.54,-1.222,4.71218,-0.15,M1.0 V,M,Main_Sequence_Cool,1,1
213,GJ 514,7.61778,3728.0,0.5,0.51,-1.36653,4.76,-0.14,M0.5-1.0 V,M,Main_Sequence_Cool,1,1
214,GJ 536,10.4092,3641.0,0.529,0.528,-1.35291,4.713,-0.08,M1 V,M,Main_Sequence_Cool,1,2
215,GJ 581,6.2981,3500.0,0.302,0.295,-1.90781,4.97,-0.08,M3.0 V,M,Main_Sequence_Cool,1,3
216,GJ 625,6.47249,3499.0,0.31,0.3,-1.894,4.94,-0.38,M2,M,Main_Sequence_Cool,1,1
217,GJ 649,10.3796,3734.0,0.5,0.51,-1.361,4.76,-0.15,M1.0,M,Main_Sequence_Cool,1,1
218,GJ 667 C,7.24396,3350.0,1.085435,0.33,-1.863,4.69,-0.55,M1.5 V,M,Main_Sequence_Cool,3,5
219,GJ 674,4.54896,3600.0,0.36463,0.35,-1.796,4.85978,-0.28,M2.5,M,Main_Sequence_Cool,1,1
