host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
3971,TOI-2202,235.933,5156.5,0.801,0.832,-0.40121,4.5489999999999995,0.0495,K8 V,K,Main_Sequence_Cool,1,2
3972,TOI-2207,373.345,6101.0,1.564,1.296,0.4843,4.161,0.181,Unknown,Unknown,Main_Sequence_Hot,1,1
3973,TOI-2211,70.2932,5253.0,0.834,0.9,-0.32094,4.54958,,Unknown,Unknown,Main_Sequence_Cool,1,1
3974,TOI-2236,355.59,6248.0,1.573,1.343,0.53275,4.172,0.119,Unknown,Unknown,Main_Sequence_Hot,1,1
3975,TOI-2257,57.7911,3430.0,0.313,0.328,-1.86713,4.971,-0.27,M3,M,Main_Sequence_Cool,1,1
3976,TOI-2260,101.251,5534.0,0.94,0.99,-0.19851,4.62,0.22,G V,G,Main_Sequence_Cool,1,1
3977,TOI-2266,51.6004,3200.0,0.24,0.23,-2.16716,4.97167,,M5.0+0.5-0.5,M,Main_Sequence_Cool,1,1
3978,TOI-2267 A,22.55,3030.0,0.2075,0.171,-2.48149,4.99,0.164,M5 V,M,Main_Sequence_Cool,2,3
3979,TOI-2267 B,22.55,3022.0,0.13,0.0989,-2.95861,4.99625,0.164,M6 V,M,Main_Sequence_Cool,2,3
3980,TOI-2274,48.876,3943.0,0.631,0.612,-1.06233,4.5,,M,M,Main_Sequence_Cool,1,1
3981,TOI-2285,42.409,3491.0,0.464,0.454,-1.54212,4.77262,-0.05,Unknown,Unknown,Main_Sequence_Cool,1,1
3982,TOI-2295,126.279,5730.0,1.459,1.168,0.31387,4.176,0.316,Unknown,Unknown,Main_Sequence_Cool,1,2
3983,TOI-2322,59.861,4664.0,0.662,0.703,-0.74232,4.57,-0.12,K4,K,Main_Sequence_Cool,1,2
3984,TOI-2328,231.782,5525.0,0.9,0.95,-0.17005,4.505,0.09,Unknown,Unknown,Main_Sequence_Cool,1,1
3985,TOI-2337,536.046,4780.0,3.22,1.325,0.689,3.5,0.39,Unknown,Unknown,Giant,1,1
3986,TOI-2338,313.996,5581.0,1.05,0.99,-0.01323,4.4,0.22,Unknown,Unknown,Main_Sequence_Cool,1,1
3987,TOI-2345,81.6541,4687.0,0.729,0.727,-0.63639,4.57,-0.1,K,K,Main_Sequence_Cool,1,2
3988,TOI-2346,437.484,6480.0,1.38,1.271,0.48144,4.265,-0.03,Unknown,Unknown,Main_Sequence_Hot,1,1
3989,TOI-2364,219.614,5306.0,0.886,0.954,-0.25181,4.524,0.344,Unknown,Unknown,Main_Sequence_Cool,1,1
3990,TOI-2368,210.915,5360.0,0.846,0.897,-0.27491,4.538,0.1,Unknown,Unknown,Main_Sequence_Cool,1,1
3991,TOI-237,38.0749,3212.0,0.211,0.179,-2.38722,5.04,,M4.5 V,M,Main_Sequence_Cool,1,1
3992,TOI-2373,508.686,5651.0,1.102,1.041,0.05115,4.371,0.3,Unknown,Unknown,Main_Sequence_Cool,1,1
3993,TOI-2374,134.655,4802.0,0.69,0.75,-0.51956,4.14,0.15,Unknown,Unknown,Main_Sequence_Cool,1,1
3994,TOI-2379,211.247,3707.0,0.622,0.645,-1.12907,4.653,0.501,Unknown,Unknown,Main_Sequence_Cool,1,1
3995,TOI-238,80.5407,5059.0,0.7444999999999999,0.7855000000000001,-0.47083,4.5785,-0.114,K2 V,K,Main_Sequence_Cool,1,2
3996,TOI-2382,434.92,6033.0,1.417,1.26,0.37967,4.235,0.249,Unknown,Unknown,Main_Sequence_Hot,1,1
3997,TOI-2384,191.51,3943.0,0.6113,0.635,-1.11907,4.66,0.332,Unknown,Unknown,Main_Sequence_Cool,1,1
3998,TOI-2406,55.419,3100.0,0.204,0.166,-2.46218,5.041,-0.26,M4 V,M,Main_Sequence_Cool,1,1
3999,TOI-2407,92.4366,3530.0,0.567,0.548,-1.34872,4.71597,0.21,Unknown,Unknown,Main_Sequence_Cool,1,1
4000,TOI-2411,59.5362,4099.0,0.68,0.65,-0.87076,4.59,,Unknown,Unknown,Main_Sequence_Cool,1,1
4001,TOI-2416,557.733,5808.0,1.236,1.118,0.197,4.303,0.32,Unknown,Unknown,Main_Sequence_Cool,1,1
4002,TOI-2420,435.174,5707.0,2.369,1.158,0.68664,3.76,,Unknown,Unknown,Subgiant,1,1
4003,TOI-2421,327.927,5607.0,1.75,1.131,0.436,4.005,0.19,Unknown,Unknown,Main_Sequence_Cool,1,1
4004,TOI-2427,28.5147,4072.0,0.65,0.64,-0.94244,4.62,,Unknown,Unknown,Main_Sequence_Cool,1,1
